Year,Best_Site,Best_Lambda,Worst_Site,Worst_Lambda,Mean_Lambda,Range
1997,DP,0.89663657101,PRH,0.7914472824075,0.846570240335,0.1051892886025001
1998,TB,1.2801585053725,PRH,0.9765924356875,1.1294114251075,0.303566069685
1999,BL,1.2390550079975,PRH,0.9998617402225,1.1378979115325,0.23919326777500005
2000,BL,1.1907482597025,DP,1.0115952826675,1.0903827467366667,0.179152977035
2001,BL,1.1497804140875,PRH,0.98132259734,1.0452062074904167,0.16845781674750004
2002,BL,1.084177063115,DP,0.7445335425525,0.97721656396625,0.3396435205625
2003,DP,1.14398921955,DE,0.978277873975,1.0304389263975,0.1657113455750001
2004,BL,1.034448396565,DE,0.863635275555,0.95266310315,0.17081312101
2005,BL,1.0562495081875,TB,0.88450066711,0.9701141930379167,0.1717488410775001
2006,TP,1.0931187679575,TB,0.9105207404525,1.002686158725,0.1825980275050001
2007,DP,1.05725736595,TB,0.9898927411675,1.0356811533854167,0.06736462478249994
2008,PRH,1.0219533122575,DE,0.9291095799525,0.9675198139208333,0.09284373230499998
2009,BL,1.02561591726,PRH,0.86399931309,0.9306435142258334,0.1616166041699999
2010,DP,1.1776891543775,PRH,0.9749161141,1.0965465984575,0.2027730402775001
2011,BL,1.1137751987525,DP,1.0108140143,1.06630435977375,0.10296118445250002
2012,TB,1.0669805229425,TP,0.9893879988475,1.0292339193691666,0.07759252409500006
2013,TB,1.076802374495,TP,0.9175992277,1.0098497291958333,0.15920314679499992
2014,DE,0.933788186945,DP,0.78570365008,0.8731359784608334,0.148084536865
2015,BL,0.97276009646,DP,0.8565224168775,0.91436226052,0.11623767958249998
2016,BL,1.113988512465,DP,0.822288286645,0.9680015523779166,0.29170022582
2017,BL,1.076159079995,DP,0.9635429798725,1.0288125202283334,0.1126161001225
2018,PRH,1.00248217172,TB,0.895814491975,0.9515637523325,0.10666767974500013
2019,DP,0.957968000435,DE,0.8133445426925,0.9078836329075,0.14462345774249996
2020,PRH,1.157153476295,DE,0.9833713926225,1.0558866680875,0.17378208367250003
2021,PRH,1.1294625966825,DE,0.93867224259,0.999038390785,0.1907903540925
2022,PRH,1.02784643362,DP,0.912822085075,0.96960957660375,0.11502434854499999
2023,TB,1.0169914338225,DP,0.86670875606,0.9225634821225,0.15028267776249993
2024,TB,1.0810432254375,DP,0.989122396315,1.0305548921308334,0.09192082912249999
