Category,variable,Estimate,rhat,ess_bulk
Survival,phi_pup_logit,"-1.260 (-1.915, -0.631)",1.0007550595638772,5597.166697992071
Survival,phi_juv_base,"0.700 (0.543, 0.838)",1.000576848010922,5203.9701312824045
Survival,phi_adult_F_logit,"2.906 (2.640, 3.176)",1.000546704913993,5500.342319634433
Survival,phi_adult_F_base,"0.948 (0.933, 0.960)",1.0005467052929389,5500.342186683947
Survival,delta_adult,"0.018 (0.003, 0.034)",1.0009912618293004,3119.2739446427377
Reproduction,fecund_primip,"0.498 (0.333, 0.669)",1.0002737697407305,6386.710349689249
Reproduction,fecund_mature,"0.434 (0.380, 0.489)",1.0012528540942838,3993.278383799221
Reproduction,prop_female,"0.533 (0.462, 0.590)",1.0001045673999125,6415.3952080851805
Reproduction,avg_fecundity,"0.447 (0.419, 0.477)",1.0010661195853714,3411.5524971147465
Observation/Derived,p_male_breed,"0.058 (0.021, 0.099)",1.0003552429920588,3729.5475935848626
Coyote,beta_coy[1],"-0.228 (-0.539, 0.076)",0.9999602678307653,10886.489254320586
Coyote,beta_coy[2],"-0.313 (-0.613, -0.006)",0.9999106928451137,10883.670652771809
Coyote,beta_coy[3],"-0.406 (-0.697, -0.110)",0.999963178016985,9750.238234714567
Disturbance,beta_dist_surv[1],"-0.146 (-0.464, 0.170)",1.0021354491029963,11703.476682381195
Disturbance,beta_dist_surv[2],"-0.052 (-0.367, 0.257)",1.0002281477492472,10673.863357318598
Disturbance,beta_dist_surv[3],"-0.086 (-0.401, 0.225)",1.0003447229492024,10989.218891005932
Disturbance,beta_dist_surv[4],"-0.161 (-0.463, 0.149)",1.0002024067198638,10605.04650017166
Disturbance,beta_dist_surv[5],"-0.197 (-0.507, 0.115)",1.000520821880697,10308.459888283258
Disturbance,beta_dist_surv[6],"-0.151 (-0.469, 0.174)",1.0005759298021586,9749.085837237333
Reproduction,beta_moci_ond_fecund,"-0.211 (-0.278, -0.144)",1.0004477266054346,3516.368620710271
Shared covariates,beta_moci_amj_pup,"-0.138 (-0.443, 0.172)",0.9999108407995021,9258.548291569436
Shared covariates,beta_moci_jfm_juv,"-0.177 (-0.417, 0.063)",1.000030068950717,10188.088381718439
Shared covariates,beta_moci_jfm_adult,"-0.169 (-0.331, -0.005)",1.0000736462704083,8317.144290793814
Shared covariates,beta_eseal_pup,"0.066 (-0.239, 0.374)",1.0006377711210421,9436.582733658528
Shared covariates,beta_moci_amj_molt,"0.115 (0.026, 0.207)",1.0011887766883718,6990.489623615838
Error terms,sigma_process,"0.245 (0.211, 0.279)",1.0013164858272086,1324.9710476633002
Error terms,sigma_obs_adult,"0.203 (0.178, 0.230)",1.0003748444589557,3731.1601960419544
Error terms,sigma_obs_pup,"0.160 (0.129, 0.191)",1.0005645454972991,1068.998002269685
Error terms,sigma_obs_molt,"0.295 (0.264, 0.327)",1.0002305856855351,6089.55290526768
Error terms,sigma_site,"0.229 (0.080, 0.382)",1.0008077824042327,5563.243413725541
Survival,phi_pup_base (prob),"0.228 (0.128, 0.347)",NA,NA
