Scenario,Year,Synchrony,mean,lo,hi
Status Quo,2026,Asynchronous (current),4392.5739987406,3728.148216056,5206.1283244925
Status Quo,2027,Asynchronous (current),4178.498616753956,3522.3904547140564,5013.092326960109
Status Quo,2028,Asynchronous (current),4059.426054292178,3387.489299131883,4904.526429998401
Status Quo,2029,Asynchronous (current),3956.985084851713,3294.124953071542,4797.443740840174
Status Quo,2030,Asynchronous (current),3845.5892862699784,3175.893400268613,4673.220784681921
Status Quo,2031,Asynchronous (current),3741.6087326342017,3033.1404442935345,4548.822316164346
Status Quo,2032,Asynchronous (current),3641.092203953418,2904.737646402629,4482.295897728458
Status Quo,2033,Asynchronous (current),3553.7445836549086,2832.1614176800804,4404.19158156629
Status Quo,2034,Asynchronous (current),3463.4074603341346,2738.809041599147,4309.512391797519
Status Quo,2035,Asynchronous (current),3371.5231566756397,2612.5490855710113,4182.370027278406
Status Quo,2026,Synchronous (hypothetical),4392.5739987406,3728.148216056,5206.1283244925
Status Quo,2027,Synchronous (hypothetical),4179.767748644713,3484.0423817528713,5013.80932763465
Status Quo,2028,Synchronous (hypothetical),4065.431141081676,3359.8749119687727,4899.481339660526
Status Quo,2029,Synchronous (hypothetical),3952.3912260313905,3225.6367213902868,4765.346363089084
Status Quo,2030,Synchronous (hypothetical),3849.533440894265,3092.42829499036,4693.808995848993
Status Quo,2031,Synchronous (hypothetical),3749.301954257892,3024.408344389726,4590.9979618363395
Status Quo,2032,Synchronous (hypothetical),3644.071368846082,2910.797462493758,4439.7541362129205
Status Quo,2033,Synchronous (hypothetical),3561.140411011984,2811.896781919888,4410.527084457437
Status Quo,2034,Synchronous (hypothetical),3466.285609219994,2706.5542442505275,4317.513777907785
Status Quo,2035,Synchronous (hypothetical),3378.4598849603535,2626.943247778011,4269.393889331937
Cool (MOCI -1),2026,Asynchronous (current),4392.5739987406,3728.148216056,5206.1283244925
Cool (MOCI -1),2027,Asynchronous (current),4393.854885151098,3667.7741818437876,5282.994924215447
Cool (MOCI -1),2028,Asynchronous (current),4400.287637652908,3642.005325214754,5332.528272673568
Cool (MOCI -1),2029,Asynchronous (current),4406.917073806114,3618.4622923451166,5390.523129155252
