Category,Parameter,Estimate,rhat,ess_bulk
Survival,"Pup survival, logit scale (sex-neutral)","-0.925 (-1.568, -0.274)",1.000093241536452,1695.3475549479044
Survival,Juvenile survival (sex-neutral),"0.676 (0.518, 0.827)",1.0002318908053687,1645.5359415439225
Survival,Adult female survival (logit scale),"2.087 (1.826, 2.348)",1.0010138124131556,1399.738697677406
Survival,"Adult female survival (probability scale, derived)","0.889 (0.861, 0.913)",1.0013098995321699,1399.738697677406
Survival,Adult M-F survival difference,"0.052 (0.019, 0.086)",1.0017298580823253,1969.3977253596095
Reproduction,Fecundity: primiparous (4-5 yr),"0.592 (0.420, 0.756)",1.0020228483146751,2437.856382501038
Reproduction,"Fecundity: mature (6+ yr, experienced breeders)","0.860 (0.795, 0.927)",1.0032295968085356,1457.950108438041
Reproduction,Proportion female at birth,"0.504 (0.435, 0.574)",1.0014397100686137,1721.3995897032087
Reproduction,Average fecundity (weighted),"0.806 (0.761, 0.861)",1.0023048477180845,1545.525732323064
Observation / Derived,Male haul-out fraction (breeding season),"0.090 (0.022, 0.180)",1.0013581590745848,1638.3157014955175
Coyote (site-specific),Coyote → pup survival (BL),"-0.217 (-0.491, 0.049)",1.002528894138361,3338.6725749486304
Coyote (site-specific),Coyote → pup survival (DE),"-0.118 (-0.407, 0.180)",1.0013284581118764,3000.211191975262
Coyote (site-specific),Coyote → pup survival (DP),"-0.307 (-0.610, -0.000)",1.0001334704404052,3003.400424182281
Disturbance (site-specific),Disturbance → pup survival (BL),"-0.183 (-0.474, 0.101)",1.0002572400167835,3106.97616959027
Disturbance (site-specific),Disturbance → pup survival (DE),"-0.108 (-0.429, 0.199)",0.9986704630232511,3560.088391857768
Disturbance (site-specific),Disturbance → pup survival (DP),"-0.216 (-0.537, 0.090)",1.0032148630639606,3145.091971488221
Disturbance (site-specific),Disturbance → pup survival (PRH),"-0.218 (-0.514, 0.070)",1.0028908874749884,2752.257062003739
Disturbance (site-specific),Disturbance → pup survival (TB),"-0.085 (-0.394, 0.224)",1.0024528116602016,3285.600012104037
Disturbance (site-specific),Disturbance → pup survival (TP),"-0.140 (-0.442, 0.167)",0.999677021331951,3195.0992367725576
Reproduction,MOCI Fall (OND) → fecundity,"-0.061 (-0.205, 0.078)",1.0029213265117949,1749.8392994445294
Shared covariates,MOCI spring AMJ (t-1) → pup survival,"-0.214 (-0.461, 0.042)",0.9996563541376952,2359.11683917612
Shared covariates,MOCI winter → juvenile survival,"-0.098 (-0.337, 0.138)",1.0007557540067558,2852.274618262549
Shared covariates,MOCI winter → adult survival,"-0.012 (-0.135, 0.108)",1.0017652957417529,1926.9349788207182
Shared covariates,Elephant seal → pup survival,"0.068 (-0.194, 0.326)",1.0005565033384378,2724.071160766645
Shared covariates,MOCI spring → molt detection,"0.041 (-0.110, 0.195)",1.0015676910530074,2267.4549474718483
Error terms,Process error (σ),"0.122 (0.091, 0.154)",1.0052524848944164,311.6365868950935
Error terms,Obs error adult (σ),"0.179 (0.162, 0.199)",1.000426859397444,1305.1173203381452
Error terms,Obs error pup (σ),"0.151 (0.125, 0.176)",1.0056872908817696,365.4056862843918
Error terms,Obs error molt (σ),"0.343 (0.313, 0.376)",0.9999700497414341,3495.717256030732
Error terms,Site random effect (σ),"0.164 (0.047, 0.292)",1.0010793515211882,1330.0638211609576
Survival,"Pup survival, probability scale (derived)","0.291 (0.172, 0.432)",NA,NA
